packet_loss,seed,nodes,lookups,successes,success_rate
0.0,1,10,10,10,1.0
0.0,2,10,10,10,1.0
0.0,3,10,10,10,1.0
0.0,4,10,10,10,1.0
0.0,5,10,10,10,1.0
0.05,1,10,10,10,1.0
0.05,2,10,10,10,1.0
0.05,3,10,10,10,1.0
0.05,4,10,10,10,1.0
0.05,5,10,10,10,1.0
0.1,1,10,10,10,1.0
0.1,2,10,10,10,1.0
0.1,3,10,10,10,1.0
0.1,4,10,10,10,1.0
0.1,5,10,10,9,0.9
0.2,1,10,10,10,1.0
0.2,2,10,10,9,0.9
0.2,3,10,10,10,1.0
0.2,4,10,10,9,0.9
0.2,5,10,10,10,1.0
0.3,1,10,10,8,0.8
0.3,2,10,10,4,0.4
0.3,3,10,10,10,1.0
0.3,4,10,10,9,0.9
0.3,5,10,10,10,1.0
0.4,1,10,10,7,0.7
0.4,2,10,10,5,0.5
0.4,3,10,10,8,0.8
0.4,4,10,10,6,0.6
0.4,5,10,10,6,0.6
0.5,1,10,10,5,0.5
0.5,2,10,10,6,0.6
0.5,3,10,10,4,0.4
0.5,4,10,10,2,0.2
0.5,5,10,10,3,0.3
